MLIA,1410,1415,1420,1405,1410,0
MLPL,113,110,114,108,109,4
MLPT,830,830,830,830,830,0
MMLP,370,368,390,368,374,4
MNC36,343,343,349,345,348,6
MNCN,1135,1135,1165,1095,1125,10
MOLI,1060,1060,1065,1060,1065,5
MPMX,1395,1395,1410,1375,1400,5
MPOW,116,116,120,108,108,8
MPPA,192,194,202,190,192,0
MPRO,670,670,750,670,750,80
MRAT,167,165,165,164,164,3
MREI,6300,6025,6300,6025,6300,0
MSIN,370,372,378,370,376,6
MSKY,995,1000,1035,950,1025,30
MTDL,1145,1145,1150,1130,1135,10
MTFN,50,50,50,50,50,0
MTLA,430,432,432,414,426,4
MTPS,1025,1025,1060,955,980,45
MTRA,388,388,390,388,390,2
MTSM,198,198,198,198,198,0
MTWI,72,72,75,72,73,1
MYOH,1300,1275,1305,1265,1300,0
MYOR,2540,2540,2560,2520,2520,20
MYRX,105,105,108,104,105,0
MYRXP,50,50,50,50,50,0
MYTX,68,78,78,70,70,2
NAGA,254,258,280,254,262,8
NASA,660,660,670,660,670,10
NATO,720,715,755,670,735,15
NELY,160,161,161,153,159,1
NFCX,2640,2640,2640,2630,2630,10
NICK,278,278,278,278,278,0
NIKL,1835,1885,1890,1770,1775,60
NIPS,240,240,248,238,248,8
NIRO,131,131,131,130,130,1
NISP,890,885,905,885,885,5
NOBU,960,960,960,960,960,0
NRCA,378,380,380,372,374,4
NUSA,57,57,58,56,57,0
OASA,288,296,296,270,292,4
OCAP,2100,2100,2100,2100,2100,0
OKAS,164,166,166,165,165,1
OMRE,1790,1790,1790,1790,1790,0
PADI,550,550,570,550,570,20
PALM,264,262,262,250,262,2
PANI,108,112,112,106,107,1
PANR,394,394,396,392,396,2
PANS,1425,1425,1425,1420,1420,5
PBID,1085,1090,1090,1070,1085,0
PBRX,545,540,540,540,540,5
PBSA,660,670,670,665,665,5
PCAR,3500,3500,3500,3500,3500,0
PDES,1330,1330,1330,1330,1330,0
PEGE,181,181,181,181,181,0
PEHA,1880,1900,2000,1900,1950,70
PGAS,1955,1960,2030,1960,2010,55
PGLI,344,344,360,344,360,16
PICO,280,278,278,262,262,18
PJAA,1285,1285,1285,1285,1285,0
PKPK,84,84,84,83,84,0
PLAS,50,50,50,50,50,0
PLIN,3790,3790,3790,3790,3790,0
PNBN,1160,1160,1180,1155,1155,5
PNBS,56,56,57,55,56,0
PNIN,1260,1270,1270,1245,1265,5
PNLF,324,322,330,322,328,4
PNSE,620,620,620,620,620,0
POLA,1345,1290,1300,1225,1270,75
POLI,1070,1065,1065,1050,1050,20
POLL,1215,1215,1215,1215,1215,0
POLY,94,94,97,92,94,0
POOL,2200,2200,2550,2170,2490,290
PORT,530,530,530,530,530,0
POSA,246,246,282,228,264,18
POWR,890,910,910,875,895,5
PPRE,386,386,388,382,388,2
PPRO,116,116,117,115,115,1
PRAS,163,163,163,163,163,0
PRDA,3500,3500,3500,3500,3500,0
PRIM,466,456,474,456,470,4
PSAB,181,183,184,180,183,2
PSDN,218,204,204,204,204,14
PSKT,50,50,50,50,50,0
PSSI,165,170,170,165,166,1
PTBA,3000,3000,3030,2960,3000,0
PTIS,262,262,262,262,262,0
PTPP,1880,1870,1910,1860,1880,0
PTRO,1635,1635,1635,1605,1625,10
PTSN,1070,1070,1190,1070,1185,115
PTSP,7275,7275,7275,7275,7275,0
PUDP,368,360,360,354,354,14
PWON,680,680,710,680,700,20
PYFA,192,194,194,193,193,1
PZZA,1145,1120,1125,1105,1105,40
RAJA,254,254,260,252,256,2
RALS,1610,1610,1620,1590,1610,0
